,time_index,Drug category,individuals_pct,individuals_n
1,2020-01-01,AC only,74.3,722737
2,2020-01-01,AP only,7.2,70498
3,2020-01-01,AC and AP,6.5,63101
4,2020-01-01,No AT,12,116635
5,2020-07-01,AC only,75.8,734717
6,2020-07-01,AP only,6.7,65333
7,2020-07-01,AC and AP,6.1,58822
8,2020-07-01,No AT,11.4,110331
9,2021-01-01,AC only,76,749534
10,2021-01-01,AP only,6.5,63695
11,2021-01-01,AC and AP,6,58800
12,2021-01-01,No AT,11.6,114327
13,2021-05-01,AC only,75.7,748898
14,2021-05-01,AP only,6.5,64060
15,2021-05-01,AC and AP,5.5,54681
16,2021-05-01,No AT,12.3,121302
