,time_index,Drug category,individuals_pct,individuals_n
1,2020-01-01,aspirin,9.83,93703
2,2020-01-01,clopidogrel,4.9,46736
3,2020-01-01,apixaban,31.4,299196
4,2020-01-01,rivaroxaban,20.52,195547
5,2020-01-01,dabigatran,2.81,26751
6,2020-01-01,edoxaban,5.56,52944
7,2020-01-01,warfarin,24.78,236158
8,2020-07-01,aspirin,8.86,86005
9,2020-07-01,clopidogrel,4.53,43907
10,2020-07-01,apixaban,33.17,321884
11,2020-07-01,rivaroxaban,20.6,199920
12,2020-07-01,dabigatran,2.64,25657
13,2020-07-01,edoxaban,8,77642
14,2020-07-01,warfarin,22.02,213638
15,2021-01-01,aspirin,8.8,84333
16,2021-01-01,clopidogrel,4.59,43928
17,2021-01-01,apixaban,35.34,338602
18,2021-01-01,rivaroxaban,21,201184
19,2021-01-01,dabigatran,2.59,24781
20,2021-01-01,edoxaban,9.33,89340
21,2021-01-01,warfarin,18.18,174189
22,2021-05-01,aspirin,8.59,80957
23,2021-05-01,clopidogrel,4.53,42736
24,2021-05-01,apixaban,36.18,341160
25,2021-05-01,rivaroxaban,21.04,198394
26,2021-05-01,dabigatran,2.54,23939
27,2021-05-01,edoxaban,9.83,92709
28,2021-05-01,warfarin,17.13,161533
